index|question|tags
1|Who is your hero?|icebreakers,get to know
2|If you could live anywhere, where would it be?|icebreakers,get to know
3|What is your biggest fear?|icebreakers,get to know
4|What is your favorite family vacation?|icebreakers,get to know
5|What would you change about yourself if you could?|icebreakers,get to know
6|What really makes you angry?|icebreakers,get to know
7|What motivates you to work hard?|icebreakers,get to know
8|What is your favorite thing about your career?|icebreakers,get to know
9|What is your biggest complaint about your job?|icebreakers,get to know
10|What is your proudest accomplishment?|icebreakers,get to know
11|What is your child's proudest accomplishment?|icebreakers,get to know
12|What is your favorite book to read?|icebreakers,get to know
13|What makes you laugh the most?|icebreakers,get to know
14|What was the last movie you went to? What did you think?|icebreakers,get to know
15|What did you want to be when you were small?|icebreakers,get to know
16|What does your child want to be when he/she grows up?|icebreakers,get to know
17|If you could choose to do anything for a day, what would it be?|icebreakers,get to know
18|What is your favorite game or sport to watch and play?|icebreakers,get to know
19|Would you rather ride a bike, ride a horse, or drive a car?|icebreakers,get to know
20|What would you sing at Karaoke night?|icebreakers,get to know
21|What two radio stations do you listen to in the car the most?|icebreakers,get to know
22|Which would you rather do: wash dishes, mow the lawn, clean the bathroom, or vacuum the house?|icebreakers,get to know
23|If you could hire someone to help you, would it be with cleaning, cooking, or yard work?|icebreakers,get to know
24|If you could only eat one meal for the rest of your life, what would it be?|icebreakers,get to know
25|Who is your favorite author?|icebreakers,get to know
26|Have you ever had a nickname? What is it?|icebreakers,get to know
27|Do you like or dislike surprises? Why or why not?|icebreakers,get to know
28|In the evening, would you rather play a game, visit a relative, watch a movie, or read?|icebreakers,get to know
29|Would you rather vacation in Hawaii or Alaska, and why?|icebreakers,get to know
30|Would you rather win the lottery or work at the perfect job? And why?|icebreakers,get to know
31|Who would you want to be stranded with on a deserted island?|icebreakers,get to know
32|If money was no object, what would you do all day?|icebreakers,get to know
33|If you could go back in time, what year would you travel to?|icebreakers,get to know
34|How would your friends describe you?|icebreakers,get to know
35|What are your hobbies?|icebreakers,get to know
36|What is the best gift you have been given?|icebreakers,get to know
37|What is the worst gift you have received?|icebreakers,get to know
38|Aside from necessities, what one thing could you not go a day without?|icebreakers,get to know
39|List two pet peeves.|icebreakers,get to know
40|Where do you see yourself in five years?|icebreakers,get to know
41|How many pairs of shoes do you own?|icebreakers,get to know
42|If you were a super-hero, what powers would you have?|icebreakers,get to know
43|What would you do if you won the lottery?|icebreakers,get to know
44|What form of public transportation do you prefer? (air, boat, train, bus, car, etc.)|icebreakers,get to know
45|What's your favorite zoo animal?|icebreakers,get to know
46|If you could go back in time to change one thing, what would it be?|icebreakers,get to know
47|If you could share a meal with any 4 individuals, living or dead, who would they be?|icebreakers,get to know
48|How many pillows do you sleep with?|icebreakers,get to know
49|What's the longest you've gone without sleep (and why)?|icebreakers,get to know
50|What's the tallest building you've been to the top in?|icebreakers,get to know
51|Would you rather trade intelligence for looks or looks for intelligence?|icebreakers,get to know
52|How often do you buy clothes?|icebreakers,get to know
53|Have you ever had a secret admirer?|icebreakers,get to know
54|What's your favorite holiday?|icebreakers,get to know
55|What's the most daring thing you've ever done?|icebreakers,get to know
56|What was the last thing you recorded on TV?|icebreakers,get to know
57|What was the last book you read?|icebreakers,get to know
58|What's your favorite type of foreign food?|icebreakers,get to know
59|Are you a clean or messy person?|icebreakers,get to know
60|Who would you want to play you in a movie of your life?|icebreakers,get to know
61|How long does it take you to get ready in the morning?|icebreakers,get to know
62|What kitchen appliance do you use every day?|icebreakers,get to know
63|What's your favorite fast food chain?|icebreakers,get to know
64|What's your favorite family recipe?|icebreakers,get to know
65|Do you love or hate rollercoasters?|icebreakers,get to know
66|What's your favorite family tradition?|icebreakers,get to know
67|What is your favorite childhood memory?|icebreakers,get to know
68|What's your favorite movie?|icebreakers,get to know
69|How old were you when you learned Santa wasn't real? How did you find out?|icebreakers,get to know
70|Is your glass half full or half empty?|icebreakers,get to know
71|What's the craziest thing you�ve done in the name of love?|icebreakers,get to know
72|What three items would you take with you on a deserted island?|icebreakers,get to know
73|What was your favorite subject in school?|icebreakers,get to know
74|What's the most unusual thing you've ever eaten?|icebreakers,get to know
75|Do you collect anything?|icebreakers,get to know
76|Is there anything you wished would come back into fashion?|icebreakers,get to know
77|Are you an introvert or an extrovert?|icebreakers,get to know
78|Which of the five senses would you say is your strongest?|icebreakers,get to know
79|Have you ever had a surprise party? (that was an actual surprise)|icebreakers,get to know
80|Are you related or distantly related to anyone famous?|icebreakers,get to know
81|What do you do to keep fit?|icebreakers,get to know
82|Does your family have a �motto� spoken or unspoken?|icebreakers,get to know
83|If you were ruler of your own country what would be the first law you would introduce?|icebreakers,get to know
84|Who was your favorite teacher in school and why?|icebreakers,get to know
85|What three things do you think of the most each day?|icebreakers,get to know
86|If you had a warning label, what would yours say?|icebreakers,get to know
87|What song would you say best sums you up?|icebreakers,get to know
88|What celebrity would you like to meet at Starbucks for a cup of coffee?|icebreakers,get to know
89|Who was your first crush?|icebreakers,get to know
90|What's the most interesting thing you can see out of your office or kitchen window?|icebreakers,get to know
91|On a scale of 1-10 how funny would you say you are?|icebreakers,get to know
92|Where do you see yourself in 10 years?|icebreakers,get to know
93|What was your first job?|icebreakers,get to know
94|If you could join any past or current music group which would you want to join?|icebreakers,get to know
95|How many languages do you speak?|icebreakers,get to know
96|What is your favorite family holiday tradition?|icebreakers,get to know
97|Who is the most intelligent person you know?|icebreakers,get to know
98|If you had to describe yourself as an animal, which one would it be?|icebreakers,get to know
99|What is one thing you will never do again?|icebreakers,get to know
100|Who knows you the best?|icebreakers,get to know
101|Do you fold your pizza?|icebreakers
102|What fictional family would you most like to join?|icebreakers
103|Would you rather be reincarnated as a cat or a dog?|icebreakers
104|Pull out your phone. What is your most used emoji?|icebreakers
105|Who was your childhood famous crush?|icebreakers
106|Imagine you are a professional baseball plaWhat is your introduction song?|icebreakers
107|What celebrity do most people say you look like?|icebreakers
108|If you could try any food, what would it be?|icebreakers
109|What movie do you wish you could watch again for the first time?|icebreakers
110|You can only eat one food again for the rest of your lWhat is it?|icebreakers
111|What is your go-to karaoke anthem?|icebreakers
112|What is your favorite type of sandwich?|icebreakers
113|Pick your favorite song.|icebreakers
114|You are stranded on a remote desert island. Are you alone or with your worst enemy?|icebreakers
115|What is the best thing you have bought so far this year?|icebreakers
116|Who is your favorite Disney character?|icebreakers
117|What superpower would you most want?|icebreakers
118|What dog breed would you be?|icebreakers
119|Have you ever met your idol?|icebreakers
120|What bucket list item do you most want to check off in the next six months?|icebreakers
121|Imagine you can instantly learn any language. Which would you choose?|icebreakers
122|Do you prefer big dogs or small dogs?|icebreakers
123|Show us your most-used emoji.|icebreakers
124|Show us your phone background and tell the story behind why you picked this image.|icebreakers
125|Show us the weirdest thing you have in the room with you right now.|icebreakers
126|What emoji best describes how you are feeling right now?|icebreakers
127|What are you drinking right now? If nothing, what was the last thing you drank?|icebreakers
128|What's your favorite way to spend a day off?|get to know
129|What type of music are you into?|get to know
130|What was the best vacation you ever took and why?|get to know
131|Where's the next place on your travel bucket list and why?|get to know
132|What are your hobbies, and how did you get into them?|get to know
133|What was your favorite age growing up?|get to know
134|Was the last thing you read?|get to know
135|Would you say you're more of an extrovert or an introvert?|get to know
136|What's your favorite ice cream topping?|get to know
137|What was the last TV show you binge-watched?|get to know
138|Are you into podcasts or do you only listen to music?|get to know
139|Do you have a favorite holiday? Why or why not?|get to know
140|If you could only eat one food for the rest of your life, what would it be?|get to know
141|Do you like going to the movies or prefer watching at home?|get to know
142|What's your favorite sleeping position?|get to know
143|What's your go-to guilty pleasure?|get to know
144|In the summer, would you rather go to the beach or go camping?|get to know
145|What's your favorite quote from a TV show/movie/book?|get to know
146|How old were you when you had your first celebrity crush, and who was it?|get to know
147|What's one thing that can instantly make your day better?|get to know
148|Do you have any pet peeves?|get to know
149|What song always gets you out on the dance floor?|get to know
150|When you were a kid, did you eat the crusts on your sandwich or not?|get to know
151|What activity instantly calms you?|get to know
152|Ideally, how would you spend your birthday?|get to know
153|What do you do on your commute to/from work?|get to know
154|Do you have a favorite type of exercise?|get to know
155|What's your favorite season and why?|get to know
156|What's the best joke you've ever heard?|get to know
157|What's the phone app you use most?|get to know
158|Would you rather cook or order in?|get to know
159|Have your ever disliked something and then changed your mind?|get to know
160|What's your favorite board game?|get to know
161|How do you take your coffee?|get to know
162|36 What's your most prized possession and why?|get to know
163|Is there any product that you couldn't live without?|get to know
164|Do you sleep with a top sheet? Why or why not?|get to know
165|If you could have any exotic animal as a pet, which would it be?|get to know
166|What would be the first thing you'd do if you won the lottery?|get to know
167|What's your favorite thing about your current job?|business
168|What annoys you most?|business
169|What's the career highlight you're most proud of?|business
170|Do you think you'll stay in your current gig awhile? Why or why not?|business
171|What type of role do you want to take on after this one?|business
172|"Are you more of a ""work to live"" or a ""live to work"" type of person?"|business
173|Does your job make you feel happy and fulfilled? Why or why not?|business
174|How would your 10-year-old self react to what you do now?|business
175|What do you remember most about your first job?|business
176|How old were you when you started working?|business
177|What's the worst job you've ever had?|business
178|What originally got you interested in your current field of work?|business
179|Have you ever had a side hustle or considered having one?|business
180|What's your favorite part of the workday?|business
181|What's the best career decision you've ever made?|business
182|What's the worst career decision you've ever made?|business
183|Do you consider yourself good at networking?|business
184|What career advice would you give to your younger self?|business
185|Do you believe in having a "five-year plan?"|business
186|How do you separate your work life from your home life?|business
187|When will you know you've "made it?"|business
188|Are you looking forward to retiring, or do you plan to work as long as possible?|business
189|Have you ever had "imposter syndrome?"|business
190|What do you think about workaholics?|business
191|What qualities do you look for in a boss?|business
192|Do you have a professional mentor? If not, do you want one?|business
193|Do you have a work best friend?|business
194|Are you into after-work happy hours?|business
195|How do you motivate yourself in your career?|business
196|What's the best career advice you've ever heard?|business
197|What's the worst career advice you've ever received?|business
198|When you started your current job, what most surprised you?|business
199|How do you pick yourself back up after making a mistake at work?|business
200|How do you deal with work stress?|business
201|What energizes you about your career?|business
202|What's one work-related thing you want to accomplish in the next year?|business
203|Who has had the biggest impact on your career choice?|business
204|What does your family think of your career?|business
205|What's the best thing you've learned in your current position?|business
206|If you could do it all over again, would you pursue the same career? Why or why not?|business
207|If you could do anything, besides what you're doing now, what would you do?|business
208|What do you regret not doing in the last year?|business
209|What's on your bucket list?|business
210|If you had unlimited money to start your own business, what would it be?|business
211|If you found out today was your last day on Earth, what would you do?|business
212|If you could live anywhere in the world, where would it be?|business
213|A genie gives you three wishes what are they?|business
214|If you had the opportunity to be immortal, would you take it?|business
215|Which famous person in history would you want to spend the day with?|business
216|If you could time travel, when and where would you go?|business
217|Do you think you'll likely accomplish all your dreams?|business
218|If you could magically become famous, would you want to?|business
219|If you could relive one moment in your life, which would it be?|business
220|If you see a puddle on the ground, do you walk around it or over it?|icebreakers
221|If you could have a super power, what would it be?|icebreakers
222|If you could go back to anytime in history, where would you go?|icebreakers
223|If you came back in your next life as an animal, what animal would you be?|icebreakers
224|If you got to name a new country, how would you decide what to call it?|icebreakers
225|What would be the title of your memoir?|icebreakers
226|Do you hit the snooze button or wake up immediately?|icebreakers
227|What's the first thing you do in the morning?|get to know
228|What's the last thing you do at night?|get to know
229|Do you believe in any conspiracy theories (no judgement)?|get to know
230|Do you think iced coffee should only be consumed in the summer or all year round?|get to know
231|Would you rather be covered in fur or covered in scales?|get to know
232|What's your idea of a perfect date (yes, of the calendar year)?|get to know
233|What's the most unusual place you've fallen asleep?|get to know
234|At a party, where can someone find you?|get to know
235|What's your go-to midnight snack?|get to know
236|What was your all-time favorite Halloween costume?|get to know
237|What's the weirdest thing you do when you're alone?|get to know
238|Do you have any recurring dreams?|get to know
239|What's the silliest argument you've ever been in?|get to know
240|What's the worst argument you've ever been in?|get to know
241|What's your opinion on modern art?|get to know
242|If you could choose how to die, would you? If so, what would you choose?|get to know
243|What's the most ridiculous outfit you've ever worn?|get to know
244|What was the first thing you wanted to be when you grew up?|get to know
245|If you could own a mythical creature (unicorn, phoenix, etc.), which one would you pick?|get to know
246|What's your least favorite place in the world?|get to know
247|Would you rather have your dishes or clothes be magically clean?|get to know
248|What's your favorite story about yourself?|get to know
249|If you could change anything about yourself, would you? If so, what and why?|get to know
